sentence,sentiment
"To be honest with you, this is unbelievable nonsense and very foolish.  ",negative
"In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.  ",negative
The story line is just awful!  ,negative
It's just painful!  ,negative
And the accents are absolutely abysmal!  ,negative
There's also enough hypocrisy in this film to make me vomit.  ,negative
Don't waste your time watching this rubbish non-researched film.  ,negative
I believe that Pitch Black was done well.  ,positive
"The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.  ",positive
Go watch it!  ,positive
Omit watching this.  ,negative
VERY funny!  ,positive
My rating: just 3 out of 10.  ,negative
The characters are interesting and you really care for them.  ,positive
"An instant classic, with a great soundtrack and a catchy song during the ending credits.  ",positive
Don't miss it.  ,positive
"This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.  ",positive
"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  ",positive
"But above all the exquisite visual composition of each moment, with inventive and elegant use of close-up, camera angle and lighting, including pointillistic faux home movie footage, is a wonder and joy to behold.  ",positive
"It's as continuously beautiful to look at as a Bertolucci, but the relationships here are more convincing and the narrative more engaging than some of that master's work.  ",positive
The basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew.  ,negative
"Regardless, the film fails on most levels.  ",negative
Avoid at all costs.  ,negative
"I saw this film over Christmas, and what a great film it was!  ",positive
I thought Errol Flynn was brilliant as Custer and has since become my favourite actor!  ,positive
His acting alongside Olivia De Havilland was brilliant and the ending was fantastic!  ,positive
"I had always known that Errol Flynn was a brilliant actor as he was my dads favourite actor, and I grew up watching his films as a child.  ",positive
But it wasn't until I watched this film that I realised how great he actually was.  ,positive
I'll give this film 10 out of 10!  ,positive
"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.  ",negative
"He really didn't seem to want to be hosting; his voice-overs were monotonous, didn't get involved with the guests.  ",negative
"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.  ",positive
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  ",positive
Nevertheless yet another wonderful film from the great master's stable.  ,positive
I have to say that this film was excellently produced and tops the ratings as a typical sci fi film!  ,positive
Excellently produced by one of Sci-fi's best producers Scot Vandiver !  ,positive
"But it is entertaining, nonetheless.  ",positive
It's a campy sort of film that's a joy to watch.  ,positive
There's barely a boring moment in the film and there are plenty of humorous parts.  ,positive
The cast is always entertaining as usual.  ,positive
"Overall, a delight!  ",positive
"This movie is so mind-bendingly awful, it couldn't have even been created.  ",negative
The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.  ,negative
The least said about the acting the better.  ,negative
This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa.  ,positive
I believe every one should see this movie as I think few people outside of South Africa understand its past and what is being attempted in the Truth and Reconciliation process.  ,positive
Nothing short of magnificent photography/cinematography in this film.  ,positive
"The acting is fantastic, the stories are seamlessly woven together, and the dogs are splendid............. A must rent, view, or see.  ",positive
Don't be afraid of subtitles........ its worth a little aversion therapy 10/10  ,positive
Excellent performance.  ,positive
